Localizacao;Id;Titulo;IsDeleted;CreatedAt;CreatedBy;UpdatedAt;UpdatedBy;Titulo;Localizacao;Propriedade;IsDisponivel;LivroAutorId;LivroGeneroId
646;00b85def-5972-5918-76f9-232f153d1c06;AGAPE;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099091;e530b7d1-75cf-42d6-9567-51ba55c5e34c;AGAPE;646;PRC;t;c16c4b63-71c8-2bfb-5a67-836786233d70;1a33914e-16a9-23cb-20b7-e9b7939e1e58
2229;030743ae-7af0-6e53-a0a1-052e8e8d7ba5;CONFUSOES E CALAFRIOS;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099112;e530b7d1-75cf-42d6-9567-51ba55c5e34c;CONFUSOES E CALAFRIOS;2229;PRC;t;3a00193a-0767-1ed4-0c33-9416f7152c17;c68ca414-566e-8a6c-54cf-10dc568d4a6f
1316;42eea28a-6264-2209-2c2c-3e24f6b94b33;CREPUSCULO;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099117;e530b7d1-75cf-42d6-9567-51ba55c5e34c;CREPUSCULO;1316;PRC;t;57a8dd68-6b12-65d5-73b5-083f8aeca0a6;79db3772-6538-8f98-038a-513050747f33
1605;05667ace-a455-9259-8f37-e0bc5b093a90;CRUZANDO O CAMINHO DO SOL;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099126;e530b7d1-75cf-42d6-9567-51ba55c5e34c;CRUZANDO O CAMINHO DO SOL;1605;PRC;t;9eb65c0d-5656-5753-29d6-0006fa7941e7;79db3772-6538-8f98-038a-513050747f33
354;062cc0c1-875b-33cc-9fb2-ba6309a683c1;DEPOIS DAQUELA VIAGEM;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.09914;e530b7d1-75cf-42d6-9567-51ba55c5e34c;DEPOIS DAQUELA VIAGEM;354;PRC;t;fc1a8be3-0d68-83bd-995d-ddd2336037d1;68674d63-2e40-a644-07c9-e72d8e200c9e
862;84f2f035-1681-5a24-34d9-f34f414da637;KAIROS;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.09914;e530b7d1-75cf-42d6-9567-51ba55c5e34c;KAIROS;862;PRC;t;c16c4b63-71c8-2bfb-5a67-836786233d70;1a33914e-16a9-23cb-20b7-e9b7939e1e58
414;06e05815-6f64-14d5-339b-dde8fab87f8c;E AGORA, MAE?;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.09915;e530b7d1-75cf-42d6-9567-51ba55c5e34c;E AGORA, MAE?;414;PRC;t;422919ce-8d91-1014-3df5-9af6b4b18077;c68ca414-566e-8a6c-54cf-10dc568d4a6f
1155;137e11d9-0bd0-347a-2eb1-396ead3b9105;E A VIDA CONTINUA...;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099149;e530b7d1-75cf-42d6-9567-51ba55c5e34c;E A VIDA CONTINUA...;1155;PRC;t;9cb6c22f-958d-6ba2-a28c-41ea9f970601;68674d63-2e40-a644-07c9-e72d8e200c9e
920;06170bc7-73e3-8ff7-63e9-5bca866090f4;SOMENTE UMA LEMBRANCA;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099153;e530b7d1-75cf-42d6-9567-51ba55c5e34c;SOMENTE UMA LEMBRANCA;920;PRC;t;c423552c-3c21-4df0-92a2-c102b5ef40f8;c6cd4c7e-6ab5-75a8-8923-4c6cdc57231d
694;0061e880-1b59-5857-48c7-90ed949f6978;ESPERANCA VIVA: UMA ESCOLHA INTELIGENTE;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099165;e530b7d1-75cf-42d6-9567-51ba55c5e34c;ESPERANCA VIVA: UMA ESCOLHA INTELIGENTE;694;PRC;t;9e1a0108-5014-6d60-2b3a-8ccf1c1437ac;6ddc0484-26b7-951d-5866-83539b572615
2287;04b68587-99e7-58b4-19f3-57c9430f54c3;A VOZ DA FE;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.09918;e530b7d1-75cf-42d6-9567-51ba55c5e34c;A VOZ DA FE;2287;PRC;t;f94d4ca7-a370-6c2b-5366-77858cf99566;1a33914e-16a9-23cb-20b7-e9b7939e1e58
1227;06a2a96d-a03f-85df-073a-a3143f9331c6;GAROTA EXEMPLAR;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099181;e530b7d1-75cf-42d6-9567-51ba55c5e34c;GAROTA EXEMPLAR;1227;PRC;t;fc8f1aba-576e-1dfa-035f-a4299b068820;68674d63-2e40-a644-07c9-e72d8e200c9e
970;01037f24-2b32-4004-94df-322228886ff4;INDOMAVEL;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099191;e530b7d1-75cf-42d6-9567-51ba55c5e34c;INDOMAVEL;970;PRC;t;6a57e3ea-824b-472d-4051-baf43022294b;7031c524-83df-350d-77db-3706038d7363
2138;0a75e37c-46b0-57a9-969f-a2612e9387ac;HEROIS DE VERDADE;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099185;e530b7d1-75cf-42d6-9567-51ba55c5e34c;HEROIS DE VERDADE;2138;PRC;t;2d6289ee-50b8-4ffc-82c5-d5df735d41ec;6ddc0484-26b7-951d-5866-83539b572615
943;0633e1ef-274f-14a7-9770-b91cedec5980;LET'S ELEVATE!;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.0992;e530b7d1-75cf-42d6-9567-51ba55c5e34c;LET'S ELEVATE!;943;PRC;t;9ed540e9-0ef8-1427-2080-da51b3c35cec;c82ffc12-9d7e-02e3-25d3-2ffbc8cc197f
1177;17a1448a-540f-84e8-4ef8-2127525ca0be;O GUARANI;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099229;e530b7d1-75cf-42d6-9567-51ba55c5e34c;O GUARANI;1177;PRC;t;e8be2384-8ff5-86eb-514a-449419719bc7;68674d63-2e40-a644-07c9-e72d8e200c9e
542;097803fd-66f3-90ad-54c4-e4278fa789bd;MENINO DE ENGENHO;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099236;e530b7d1-75cf-42d6-9567-51ba55c5e34c;MENINO DE ENGENHO;542;PRC;t;f83b5993-9e91-55e7-3036-54e767c20344;68674d63-2e40-a644-07c9-e72d8e200c9e
325;03f2508c-4b2a-4062-4447-d2bf3f004d3d;MOBY DICK;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099245;e530b7d1-75cf-42d6-9567-51ba55c5e34c;MOBY DICK;325;PRC;t;032f09ef-4e72-53db-0f77-f8760226a5f9;79db3772-6538-8f98-038a-513050747f33
274;0a802e39-2758-0dea-93a5-d27a0834468e;O APELO DO AMOR;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099269;e530b7d1-75cf-42d6-9567-51ba55c5e34c;O APELO DO AMOR;274;PRC;t;6472a5a3-96e0-7970-69de-5efa56311cfd;68674d63-2e40-a644-07c9-e72d8e200c9e
392;031e9a5e-0f47-9372-4b39-a685e3fd6c58;O DESAFIO DO PANTANAL;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099284;e530b7d1-75cf-42d6-9567-51ba55c5e34c;O DESAFIO DO PANTANAL;392;PRC;t;3a00193a-0767-1ed4-0c33-9416f7152c17;c68ca414-566e-8a6c-54cf-10dc568d4a6f
1641;04d72de0-585b-6bce-0f3d-e7a09c246985;O ESTADIO DE WIMBLEDON;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.09929;e530b7d1-75cf-42d6-9567-51ba55c5e34c;O ESTADIO DE WIMBLEDON;1641;PRC;t;b6c5a2f2-35d2-83d3-11e1-50469e6656ac;68674d63-2e40-a644-07c9-e72d8e200c9e
439;02307519-25c7-27d2-5a82-7c3ce4674df7;O MENINO SEM IMAGINACAO;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099302;e530b7d1-75cf-42d6-9567-51ba55c5e34c;O MENINO SEM IMAGINACAO;439;PRC;t;38fdb618-6b83-943b-996c-48a927c792e2;c68ca414-566e-8a6c-54cf-10dc568d4a6f
1183;0023e1b3-561f-2e1e-5649-5e6bda6d3fe5;O PERFUME DA FOLHA DE CHA;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099314;e530b7d1-75cf-42d6-9567-51ba55c5e34c;O PERFUME DA FOLHA DE CHA;1183;PRC;t;fb93ac53-79cd-684b-a54b-d91e8ff93383;68674d63-2e40-a644-07c9-e72d8e200c9e
1126;026b36e1-0e24-013e-4624-c1c3bbfe70be;O SACI;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099326;e530b7d1-75cf-42d6-9567-51ba55c5e34c;O SACI;1126;PRC;t;aaa841ad-6e2f-5fdf-9873-7e71948d5d1c;c68ca414-566e-8a6c-54cf-10dc568d4a6f
1146;009b5128-1ad6-0007-826d-4422cd47869b;O XANGO DE BAKER STREET;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.09934;e530b7d1-75cf-42d6-9567-51ba55c5e34c;O XANGO DE BAKER STREET;1146;PRC;t;683b59bc-7e14-5f21-625f-8c3cc97c0123;68674d63-2e40-a644-07c9-e72d8e200c9e
1740;0e2b7b27-0547-07d5-9525-6443f5c23f64;A LENDA DO LAGO DOURADO;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099362;e530b7d1-75cf-42d6-9567-51ba55c5e34c;A LENDA DO LAGO DOURADO;1740;PRC;t;21bc82fc-7e21-2c1f-3543-0429b49509c1;79db3772-6538-8f98-038a-513050747f33
1796;013e3f0b-51c5-97a7-0f09-a4c450872b16;A PRIMEIRA ORACAO DE JESSICA;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099374;e530b7d1-75cf-42d6-9567-51ba55c5e34c;A PRIMEIRA ORACAO DE JESSICA;1796;PRC;t;3f2c9991-20b8-13d8-1e8d-253e922e7243;c68ca414-566e-8a6c-54cf-10dc568d4a6f
1905;01db37a5-4348-6fcc-148a-73652cf904b6;O CORTICO;t;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099398;e530b7d1-75cf-42d6-9567-51ba55c5e34c;O CORTICO;1905;PRC;t;dc956f8a-86b5-8138-364d-911378040249;68674d63-2e40-a644-07c9-e72d8e200c9e
2050;02b3e190-9080-2dd3-68f9-bb1cbcd76894;PEGA LADRAO;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099408;e530b7d1-75cf-42d6-9567-51ba55c5e34c;PEGA LADRAO;2050;PRC;t;04a8d1b5-6173-a38e-2007-ffa5ef0e20af;c68ca414-566e-8a6c-54cf-10dc568d4a6f
1912;352319f4-3442-6583-013f-9d399c0f894d;VIDA DE JESUS;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099399;e530b7d1-75cf-42d6-9567-51ba55c5e34c;VIDA DE JESUS;1912;PRC;t;d97c9ff6-a1ae-51fc-668e-e1c086caa2e1;1a33914e-16a9-23cb-20b7-e9b7939e1e58
2384;01d82b4e-1101-48a3-2d3e-fbe2e2e3780a;POR MAIS UM DIA;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099415;e530b7d1-75cf-42d6-9567-51ba55c5e34c;POR MAIS UM DIA;2384;PRC;t;24645196-9558-6dbd-318c-32121d9f8e30;79db3772-6538-8f98-038a-513050747f33
2038;07e75d35-501a-6e45-474e-e074a52b9008;NADA A PERDER 2;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099427;e530b7d1-75cf-42d6-9567-51ba55c5e34c;NADA A PERDER 2;2038;PRC;t;1c29e557-a402-5bbb-2a5a-47d141ce3c26;7031c524-83df-350d-77db-3706038d7363
2018;0be05a0d-5c82-2116-9a51-f018f40e89a2;A VIDA SABE O QUE FAZ;f;2022-05-18 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-06-01 14:14:55.099423;e530b7d1-75cf-42d6-9567-51ba55c5e34c;A VIDA SABE O QUE FAZ;2018;PRC;t;d5a8ccf4-9828-67d6-68a6-41c85489865a;c6cd4c7e-6ab5-75a8-8923-4c6cdc57231d
