Id;IsDeleted;CreatedAt;CreatedBy;UpdatedAt;UpdatedBy;AlunoLeitorId;DataFim;DataInicio;LivroId;LeituraTipo;AlunoLeituraCronogramaId;AvaliacaoConceito;AvaliacaoConceitoJustificativa;AvaliacaoCriterio1;AvaliacaoCriterio2;AvaliacaoCriterio3;AvaliacaoCriterio4;AvaliacaoCriterio5;AvaliacaoCriterio6;AvaliacaoCriterio7;AvaliacaoObservacao;ChaveLeitura
f1dbeeb2-ff9f-48ff-b741-07c152917f7f;f;2022-05-19 14:04:53.421969;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-19 14:04:53.42197;1e526008-75f7-4a01-9942-d178f2b38888;2d952c01-2544-6451-7798-064ff0744c49;18/03/2022 00:00;16/02/2022 00:00;074fd324-a761-a1a5-8eb9-5f0dd4389dfb;1;8dbe9c25-0ad1-449f-8e8d-9359295957a0;0;;0;0;0;0;0;0;0;;0
ffe77b5a-99f6-466f-95cc-f0f0a95811af;f;2022-05-19 14:06:34.624712;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-19 14:06:34.624713;1e526008-75f7-4a01-9942-d178f2b38888;09c937e6-40df-8c69-8968-82451bc4a2b3;0001-01-01 00:00:00;0001-01-01 00:00:00;e67b6c51-1579-a726-685c-691a05754aec;1;8dbe9c25-0ad1-449f-8e8d-9359295957a0;0;;0;0;0;0;0;0;0;;0
0f6d1ac5-2f52-406f-8769-242660af856d;f;2022-05-19 14:06:34.676931;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-19 14:06:34.676933;1e526008-75f7-4a01-9942-d178f2b38888;16988db9-4267-a441-1802-51ae48a508b0;0001-01-01 00:00:00;0001-01-01 00:00:00;dc065fde-0f74-2066-834b-15286adb4437;1;8dbe9c25-0ad1-449f-8e8d-9359295957a0;0;;0;0;0;0;0;0;0;;0
4be9d082-2233-4c94-a833-faeb8f08bbe9;f;2022-05-19 14:06:34.728247;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-19 14:06:34.728248;1e526008-75f7-4a01-9942-d178f2b38888;727a5073-30a2-373f-6b88-85113acb5cda;0001-01-01 00:00:00;0001-01-01 00:00:00;131742ca-8802-2218-8861-6a193a242f1e;1;8dbe9c25-0ad1-449f-8e8d-9359295957a0;0;;0;0;0;0;0;0;0;;0
2ef4fb9c-5cce-4844-875a-92bd27ee877b;f;2022-05-19 14:06:34.778351;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-19 14:06:34.778352;1e526008-75f7-4a01-9942-d178f2b38888;7a7378e3-4557-19d7-7408-b227500b5b37;0001-01-01 00:00:00;0001-01-01 00:00:00;2a16ad2d-3d86-4da8-8fbe-e2bf1e625937;1;8dbe9c25-0ad1-449f-8e8d-9359295957a0;0;;0;0;0;0;0;0;0;;0
22aa98cb-bce2-4e59-b22e-f31a7fd34b4a;f;2022-05-19 14:06:34.829;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-19 14:06:34.829002;1e526008-75f7-4a01-9942-d178f2b38888;23864550-77ab-5644-84fc-d82fd9f153cb;0001-01-01 00:00:00;0001-01-01 00:00:00;9dd6e9b7-9b83-2bd6-9f16-af537d516107;1;8dbe9c25-0ad1-449f-8e8d-9359295957a0;0;;0;0;0;0;0;0;0;;0
3285e17c-95e6-4a0d-ade6-a5813de87753;f;2022-05-19 14:06:34.880267;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-19 14:06:34.880269;1e526008-75f7-4a01-9942-d178f2b38888;269c35a6-8a3e-7bf1-17d3-69d5f9258474;0001-01-01 00:00:00;0001-01-01 00:00:00;8f1d8149-a38f-9913-1fd3-2391b3801e7e;1;8dbe9c25-0ad1-449f-8e8d-9359295957a0;0;;0;0;0;0;0;0;0;;0
311e0e9e-9e75-4222-bea3-0de97e9cc600;f;2022-05-19 14:06:34.928251;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-19 14:06:34.928253;1e526008-75f7-4a01-9942-d178f2b38888;a315bd45-85c4-562d-9963-e5a988df4c11;0001-01-01 00:00:00;0001-01-01 00:00:00;2e2ae49c-9944-0c64-7f91-8159f9607932;1;8dbe9c25-0ad1-449f-8e8d-9359295957a0;0;;0;0;0;0;0;0;0;;0
b98f44a6-4a3d-4633-aa82-7555c6e3e6ab;f;2022-05-19 14:06:34.976173;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-19 14:06:34.976174;1e526008-75f7-4a01-9942-d178f2b38888;dfc263e1-3ae7-44da-2e90-f754d4af2204;0001-01-01 00:00:00;0001-01-01 00:00:00;4c5931ba-60a4-a1c5-5185-8eea1e7b7e34;1;8dbe9c25-0ad1-449f-8e8d-9359295957a0;0;;0;0;0;0;0;0;0;;0
9bf5e713-2c9c-4c55-9274-a979b62b3b0e;f;2022-05-19 14:06:35.02105;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-19 14:06:35.021051;1e526008-75f7-4a01-9942-d178f2b38888;cd2c38a5-1bef-6a41-330b-154ac6342276;0001-01-01 00:00:00;0001-01-01 00:00:00;0e181090-6d16-33ff-0255-879c8dca9603;1;8dbe9c25-0ad1-449f-8e8d-9359295957a0;0;;0;0;0;0;0;0;0;;0
dbfb8268-1d8d-4e96-a088-1c74189c1783;f;2022-05-19 14:06:35.066247;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-19 14:06:35.066248;1e526008-75f7-4a01-9942-d178f2b38888;e00684e8-9ffc-5858-a41a-cfc09e94a3d6;0001-01-01 00:00:00;0001-01-01 00:00:00;7aea0162-3718-a0ca-190e-984580949a91;1;8dbe9c25-0ad1-449f-8e8d-9359295957a0;0;;0;0;0;0;0;0;0;;0
33d185a2-2003-4649-ab37-1b20ab60378c;f;2022-05-19 14:06:35.111581;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-19 14:06:35.111582;1e526008-75f7-4a01-9942-d178f2b38888;95869131-534f-3bef-a2c0-1c73c07c3176;0001-01-01 00:00:00;0001-01-01 00:00:00;fd03e7e1-1839-90a5-5a9e-65fc740036e8;1;8dbe9c25-0ad1-449f-8e8d-9359295957a0;0;;0;0;0;0;0;0;0;;0
2aefaa4d-f423-4e11-bc81-458d5eb1f4bd;f;2022-05-19 14:06:35.156978;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-19 14:06:35.156979;1e526008-75f7-4a01-9942-d178f2b38888;44a50917-a089-37b5-69b8-2229fae4488f;0001-01-01 00:00:00;0001-01-01 00:00:00;9297c240-4555-5f7d-60f9-08f5217ea7c0;1;8dbe9c25-0ad1-449f-8e8d-9359295957a0;0;;0;0;0;0;0;0;0;;0
cab6b711-44bb-496a-908a-343ea47e4074;f;2022-05-19 14:06:35.201575;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-19 14:06:35.201576;1e526008-75f7-4a01-9942-d178f2b38888;9bf3149c-2752-19df-80cc-cf4fcacc9830;0001-01-01 00:00:00;0001-01-01 00:00:00;28698c9c-59c5-9d18-1b7a-4730914018a7;1;8dbe9c25-0ad1-449f-8e8d-9359295957a0;0;;0;0;0;0;0;0;0;;0
